codigo,nome,setor,bmp_medio,bmp_min,bmp_max,bmp_unidade
BAGACO,Bagaço de cana,AG_AGRICULTURA,0.115,0.08625000000000001,0.14375000000000002,m³ CH₄/kg MS
BAGACO_CITROS,Bagaço de citros,AG_AGRICULTURA,0.18,0.13,0.22,m³ CH₄/kg MS
CASCA_CAFE,Casca de café,AG_AGRICULTURA,0.12,0.09,0.15,m³ CH₄/kg MS
CASCA_EUCALIPTO,Casca de eucalipto,AG_AGRICULTURA,0.08,0.06,0.1,m³ CH₄/kg MS
CASCA_MILHO,Casca de milho,AG_AGRICULTURA,0.175,0.13124999999999998,0.21875,m³ CH₄/kg MS
CASCA_SOJA,Casca de soja,AG_AGRICULTURA,0.4,0.3,0.5,m³ CH₄/kg MS
CASCAS_CITROS,Cascas de citros,AG_AGRICULTURA,0.18,0.13,0.22,m³ CH₄/kg MS
FOLHAS_EUCALIPTO,Folhas de eucalipto,AG_AGRICULTURA,0.2,0.15,0.25,m³ CH₄/kg MS
GALHOS_EUCALIPTO,Galhos e ponteiros,AG_AGRICULTURA,0.1,0.08,0.12,m³ CH₄/kg MS
MUCILAGEM_CAFE,Mucilagem de café,AG_AGRICULTURA,0.3,0.22,0.38,m³ CH₄/kg MS
PALHA,Palha de cana,AG_AGRICULTURA,0.25,0.19,0.31,m³ CH₄/kg MS
PALHA_MILHO,Palha de milho,AG_AGRICULTURA,0.22,0.17,0.28,m³ CH₄/kg MS
PALHA_SOJA,Palha de soja,AG_AGRICULTURA,0.23,0.17,0.29,m³ CH₄/kg MS
POLPA_CAFE,Polpa de café,AG_AGRICULTURA,0.2,0.15,0.25,m³ CH₄/kg MS
POLPA_CITROS,Polpa de citros,AG_AGRICULTURA,0.26,0.2,0.33,m³ CH₄/kg MS
SABUGO,Sabugo de milho,AG_AGRICULTURA,0.22,0.17,0.28,m³ CH₄/kg MS
TORTA_FILTRO,Torta de filtro,AG_AGRICULTURA,0.25,0.19,0.31,m³ CH₄/kg MS
VAGEM_SOJA,Vagem de soja,AG_AGRICULTURA,0.25,0.19,0.31,m³ CH₄/kg MS
VINHACA,Vinhaça,AG_AGRICULTURA,0.3,0.22,0.38,m³ CH₄/kg MS
APARAS_ALIMENTOS,Aparas e refiles,IN_INDUSTRIAL,0.35,0.26249999999999996,0.4375,m³ CH₄/kg MS
BAGACO_MALTE,Bagaço de malte,IN_INDUSTRIAL,0.115,0.08625000000000001,0.14375000000000002,m³ CH₄/kg MS
CASCAS_ALIMENTOS,Cascas diversas,IN_INDUSTRIAL,0.28,0.21000000000000002,0.35000000000000003,m³ CH₄/kg MS
GORDURA,Gordura e sebo,IN_INDUSTRIAL,0.85,0.6375,1.0625,m³ CH₄/kg MS
LEVEDO_CERVEJA,Levedura residual,IN_INDUSTRIAL,0.42,0.315,0.525,m³ CH₄/kg MS
REJEITOS,Rejeitos industriais orgânicos,IN_INDUSTRIAL,0.32,0.24,0.4,m³ CH₄/kg MS
SANGUE,Sangue animal,IN_INDUSTRIAL,0.45,0.3375,0.5625,m³ CH₄/kg MS
VISCERAS,Vísceras não comestíveis,IN_INDUSTRIAL,0.55,0.41250000000000003,0.6875,m³ CH₄/kg MS
CAMA_AVIARIO,Cama de aviário,PC_PECUARIA,0.29,0.22,0.36,m³ CH₄/kg MS
CARCACAS_AVES,Carcaças e mortalidade,PC_PECUARIA,0.62,0.46499999999999997,0.775,m³ CH₄/kg MS
DEJETOS_AVES,Dejetos frescos de aves,PC_PECUARIA,0.225,0.16875,0.28125,m³ CH₄/kg MS
DEJETOS_BOVINO,Dejetos líquidos bovino,PC_PECUARIA,0.18,0.135,0.22499999999999998,m³ CH₄/kg MS
DEJETOS_SUINO,Dejetos líquidos de suínos,PC_PECUARIA,0.13053,0.0978975,0.16316250000000002,m³ CH₄/kg MS
ESTERCO_BOVINO,Esterco bovino,PC_PECUARIA,0.28,0.21,0.35,m³ CH₄/kg MS
ESTERCO_SUINO,Esterco sólido de suínos,PC_PECUARIA,0.13053,0.0978975,0.16316250000000002,m³ CH₄/kg MS
FORSU,FORSU - Fração Orgânica separada,UR_URBANO,0.08800306666666667,0.0660023,0.11000383333333334,m³ CH₄/kg MS
ORGANICO_RSU,Fração orgânica RSU,UR_URBANO,0.08800306666666667,0.0660023,0.11000383333333334,m³ CH₄/kg MS
LODO_PRIMARIO,Lodo primário,UR_URBANO,0.08800306666666667,0.0660023,0.11000383333333334,m³ CH₄/kg MS
LODO_SECUNDARIO,Lodo secundário (biológico),UR_URBANO,0.08800306666666667,0.0660023,0.11000383333333334,m³ CH₄/kg MS
